,Algoritmo,Objetivo,Tempo de Processamento
0,Busca em Profundidade Iterativa,1,34
1,Busca em Profundidade Iterativa,2,11
2,Busca em Profundidade Iterativa,3,13
3,Busca em Profundidade Iterativa,4,12
4,Busca em Profundidade Iterativa,5,23
5,Busca em Profundidade Iterativa,6,22
6,Busca em Profundidade Iterativa,7,51
7,Busca em Profundidade Iterativa,8,46
8,Busca em Profundidade Iterativa,9,93
9,Busca em Profundidade Iterativa,10,90
10,Busca em Profundidade Iterativa,11,177
11,Busca em Profundidade Iterativa,12,175
12,Busca em Profundidade Iterativa,13,347
13,Busca em Profundidade Iterativa,14,347
14,Busca em Profundidade Iterativa,15,687
15,Busca em Profundidade Iterativa,16,684
16,Busca em Profundidade Iterativa,17,1363
17,Busca em Profundidade Iterativa,18,1662
18,Busca em Profundidade Iterativa,19,2456
19,Busca em Profundidade Iterativa,20,2453
20,Busca em Profundidade Iterativa,21,4905
21,Busca em Profundidade Iterativa,22,4788
22,Busca em Profundidade Iterativa,23,8446
23,Busca em Profundidade Iterativa,24,7934
24,Busca em Profundidade Iterativa,25,15374
25,Busca em Profundidade Iterativa,26,14674
26,Busca em Profundidade Iterativa,27,29254
27,Busca em Profundidade Iterativa,28,29607
28,Busca em Profundidade Iterativa,29,58617
29,Busca em Profundidade Iterativa,30,57935
30,Busca em Profundidade Iterativa,31,116485
31,Busca em Profundidade Iterativa,32,114458
32,Busca em Profundidade Iterativa,33,232128
33,Busca em Profundidade Iterativa,34,234882
34,Busca em Profundidade Iterativa,35,463716
35,Busca em Profundidade Iterativa,36,461808
36,Busca em Profundidade Iterativa,37,921689
37,Busca em Profundidade Iterativa,38,921559
38,Busca em Profundidade Iterativa,39,844839
39,Busca em Profundidade Iterativa,40,845711
40,Busca em Profundidade Iterativa,41,689114
41,Busca em Profundidade Iterativa,42,691455
42,Busca em Profundidade Iterativa,43,397926
43,Busca em Profundidade Iterativa,44,418965
44,Busca em Profundidade Iterativa,45,867746
45,Busca em Profundidade Iterativa,46,873853
46,Busca em Profundidade Iterativa,47,762394
47,Busca em Profundidade Iterativa,48,780109
48,Busca em Profundidade Iterativa,49,147142
49,Busca em Profundidade Iterativa,50,538922
