,Algoritmo,Objetivo,Tempo de Processamento,Achou
0,Busca em Profundidade,1,19,1
1,Busca em Profundidade,2,4,1
2,Busca em Profundidade,3,8,1
3,Busca em Profundidade,4,6,1
4,Busca em Profundidade,5,9,1
5,Busca em Profundidade,6,8,1
6,Busca em Profundidade,7,10,1
7,Busca em Profundidade,8,10,1
8,Busca em Profundidade,9,12,1
9,Busca em Profundidade,10,11,1
10,Busca em Profundidade,11,14,1
11,Busca em Profundidade,12,14,1
12,Busca em Profundidade,13,15,1
13,Busca em Profundidade,14,15,1
14,Busca em Profundidade,15,18,1
15,Busca em Profundidade,16,17,1
16,Busca em Profundidade,17,20,1
17,Busca em Profundidade,18,19,1
18,Busca em Profundidade,19,21,1
19,Busca em Profundidade,20,21,1
20,Busca em Profundidade,21,0,0
21,Busca em Profundidade,22,0,0
22,Busca em Profundidade,23,0,0
23,Busca em Profundidade,24,0,0
24,Busca em Profundidade,25,0,0
25,Busca em Profundidade,26,0,0
26,Busca em Profundidade,27,0,0
27,Busca em Profundidade,28,0,0
28,Busca em Profundidade,29,0,0
29,Busca em Profundidade,30,0,0
30,Busca em Profundidade,31,0,0
31,Busca em Profundidade,32,0,0
32,Busca em Profundidade,33,0,0
33,Busca em Profundidade,34,0,0
34,Busca em Profundidade,35,0,0
35,Busca em Profundidade,36,0,0
36,Busca em Profundidade,37,0,0
37,Busca em Profundidade,38,0,0
38,Busca em Profundidade,39,0,0
39,Busca em Profundidade,40,0,0
40,Busca em Profundidade,41,0,0
41,Busca em Profundidade,42,0,0
42,Busca em Profundidade,43,0,0
43,Busca em Profundidade,44,0,0
44,Busca em Profundidade,45,0,0
45,Busca em Profundidade,46,0,0
46,Busca em Profundidade,47,0,0
47,Busca em Profundidade,48,0,0
48,Busca em Profundidade,49,0,0
49,Busca em Profundidade,50,0,0
