,Algoritmo,Objetivo,Tempo de Processamento
0,Busca em Profundidade,1,3
1,Busca em Profundidade,2,3
2,Busca em Profundidade,3,6
3,Busca em Profundidade,4,5
4,Busca em Profundidade,5,7
5,Busca em Profundidade,6,7
6,Busca em Profundidade,7,9
7,Busca em Profundidade,8,8
8,Busca em Profundidade,9,10
9,Busca em Profundidade,10,9
10,Busca em Profundidade,11,12
11,Busca em Profundidade,12,12
12,Busca em Profundidade,13,14
13,Busca em Profundidade,14,13
14,Busca em Profundidade,15,15
15,Busca em Profundidade,16,15
16,Busca em Profundidade,17,17
17,Busca em Profundidade,18,16
18,Busca em Profundidade,19,18
19,Busca em Profundidade,20,18
20,Busca em Profundidade,21,21
21,Busca em Profundidade,22,19
22,Busca em Profundidade,23,22
23,Busca em Profundidade,24,22
24,Busca em Profundidade,25,23
25,Busca em Profundidade,26,23
26,Busca em Profundidade,27,25
27,Busca em Profundidade,28,25
28,Busca em Profundidade,29,26
29,Busca em Profundidade,30,26
30,Busca em Profundidade,31,28
31,Busca em Profundidade,32,27
32,Busca em Profundidade,33,29
33,Busca em Profundidade,34,29
34,Busca em Profundidade,35,30
35,Busca em Profundidade,36,30
36,Busca em Profundidade,37,32
37,Busca em Profundidade,38,31
38,Busca em Profundidade,39,34
39,Busca em Profundidade,40,33
40,Busca em Profundidade,41,35
41,Busca em Profundidade,42,35
42,Busca em Profundidade,43,37
43,Busca em Profundidade,44,37
44,Busca em Profundidade,45,39
45,Busca em Profundidade,46,39
46,Busca em Profundidade,47,40
47,Busca em Profundidade,48,40
48,Busca em Profundidade,49,42
49,Busca em Profundidade,50,42
